Nome,Sobrenome,Email,Valor Gasto
Sylvia,Ortiz,sylvia.ortiz@sakilacustomer.org,134.7
Ella,Oliver,ella.oliver@sakilacustomer.org,134.7
Rosemary,Schmidt,rosemary.schmidt@sakilacustomer.org,134.69
Helen,Harris,helen.harris@sakilacustomer.org,134.68
Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,134.65
Joe,Gilliland,joe.gilliland@sakilacustomer.org,133.72
Stanley,Scroggins,stanley.scroggins@sakilacustomer.org,133.71
Bernice,Willis,bernice.willis@sakilacustomer.org,133.7
Sue,Peters,sue.peters@sakilacustomer.org,133.68
Jennie,Terry,jennie.terry@sakilacustomer.org,132.72
Jessie,Milam,jessie.milam@sakilacustomer.org,132.7
Russell,Brinson,russell.brinson@sakilacustomer.org,132.65
Greg,Robins,greg.robins@sakilacustomer.org,131.74
Karen,Jackson,karen.jackson@sakilacustomer.org,131.73
Catherine,Campbell,catherine.campbell@sakilacustomer.org,131.69
Ethel,Webb,ethel.webb@sakilacustomer.org,131.69
Linda,Williams,linda.williams@sakilacustomer.org,130.76
Maria,Miller,maria.miller@sakilacustomer.org,130.72
Priscilla,Lowe,priscilla.lowe@sakilacustomer.org,130.72
Brett,Cornwell,brett.cornwell@sakilacustomer.org,130.7
Casey,Mena,casey.mena@sakilacustomer.org,130.68
Harold,Martino,harold.martino@sakilacustomer.org,130.68
Rosa,Reynolds,rosa.reynolds@sakilacustomer.org,129.72
Jordan,Archuleta,jordan.archuleta@sakilacustomer.org,129.71
Crystal,Ford,crystal.ford@sakilacustomer.org,129.7
Regina,Berry,regina.berry@sakilacustomer.org,129.68
Roberto,Vu,roberto.vu@sakilacustomer.org,128.73
Glenda,Frazier,glenda.frazier@sakilacustomer.org,128.71
Gladys,Hamilton,gladys.hamilton@sakilacustomer.org,128.71
Sara,Perry,sara.perry@sakilacustomer.org,128.7
Alma,Austin,alma.austin@sakilacustomer.org,128.69
Miguel,Betancourt,miguel.betancourt@sakilacustomer.org,127.73
Bessie,Morrison,bessie.morrison@sakilacustomer.org,127.73
Mitchell,Westmoreland,mitchell.westmoreland@sakilacustomer.org,127.69
Debbie,Reyes,debbie.reyes@sakilacustomer.org,127.69
Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,127.66
Jeanne,Lawson,jeanne.lawson@sakilacustomer.org,126.74
Jamie,Rice,jamie.rice@sakilacustomer.org,126.73
Terri,Vasquez,terri.vasquez@sakilacustomer.org,126.73
Troy,Quigley,troy.quigley@sakilacustomer.org,126.73
Tracy,Cole,tracy.cole@sakilacustomer.org,126.72
Grace,Ellis,grace.ellis@sakilacustomer.org,126.7
Maurice,Crawley,maurice.crawley@sakilacustomer.org,125.74
Bradley,Motley,bradley.motley@sakilacustomer.org,125.74
Daisy,Bates,daisy.bates@sakilacustomer.org,125.72
Joanne,Robertson,joanne.robertson@sakilacustomer.org,125.68
Justin,Ngo,justin.ngo@sakilacustomer.org,125.67
Janet,Phillips,janet.phillips@sakilacustomer.org,124.74
Julia,Flores,julia.flores@sakilacustomer.org,124.71
Elsie,Kelley,elsie.kelley@sakilacustomer.org,124.68
Carrie,Porter,carrie.porter@sakilacustomer.org,124.66
Patricia,Johnson,patricia.johnson@sakilacustomer.org,123.74
John,Farnsworth,john.farnsworth@sakilacustomer.org,123.74
Leslie,Seward,leslie.seward@sakilacustomer.org,123.72
Billy,Poulin,billy.poulin@sakilacustomer.org,123.71
Shirley,Allen,shirley.allen@sakilacustomer.org,123.7
Alice,Stewart,alice.stewart@sakilacustomer.org,123.7
Melissa,King,melissa.king@sakilacustomer.org,123.66
Tina,Simmons,tina.simmons@sakilacustomer.org,122.74
Eddie,Tomlin,eddie.tomlin@sakilacustomer.org,122.74
Javier,Elrod,javier.elrod@sakilacustomer.org,122.72
Cathy,Spencer,cathy.spencer@sakilacustomer.org,122.71
Viola,Hanson,viola.hanson@sakilacustomer.org,122.7
Jorge,Olivares,jorge.olivares@sakilacustomer.org,122.69
Milton,Howland,milton.howland@sakilacustomer.org,121.77
Gilbert,Sledge,gilbert.sledge@sakilacustomer.org,121.73
Lynn,Payne,lynn.payne@sakilacustomer.org,121.73
Jim,Rea,jim.rea@sakilacustomer.org,121.7
Barry,Lovelace,barry.lovelace@sakilacustomer.org,121.7
Nathan,Runyon,nathan.runyon@sakilacustomer.org,121.69
Rick,Mattox,rick.mattox@sakilacustomer.org,120.75
Dana,Hart,dana.hart@sakilacustomer.org,120.74
Alfred,Casillas,alfred.casillas@sakilacustomer.org,120.74
Marc,Outlaw,marc.outlaw@sakilacustomer.org,120.71
Thelma,Murray,thelma.murray@sakilacustomer.org,120.7
Cheryl,Murphy,cheryl.murphy@sakilacustomer.org,119.76
Alan,Kahn,alan.kahn@sakilacustomer.org,119.75
Hector,Poindexter,hector.poindexter@sakilacustomer.org,119.74
Gertrude,Castillo,gertrude.castillo@sakilacustomer.org,119.72
Charles,Kowalski,charles.kowalski@sakilacustomer.org,119.72
Kathryn,Coleman,kathryn.coleman@sakilacustomer.org,118.76
Stephanie,Mitchell,stephanie.mitchell@sakilacustomer.org,118.75
Tracy,Herrmann,tracy.herrmann@sakilacustomer.org,118.75
Jaime,Nettles,jaime.nettles@sakilacustomer.org,118.73
Marjorie,Tucker,marjorie.tucker@sakilacustomer.org,118.7
Virginia,Green,virginia.green@sakilacustomer.org,118.7
Joy,George,joy.george@sakilacustomer.org,118.69
Miriam,Mckinney,miriam.mckinney@sakilacustomer.org,117.77
Marshall,Thorn,marshall.thorn@sakilacustomer.org,117.77
Perry,Swafford,perry.swafford@sakilacustomer.org,117.76
Nathaniel,Adam,nathaniel.adam@sakilacustomer.org,117.75
Lee,Hawks,lee.hawks@sakilacustomer.org,117.75
Byron,Box,byron.box@sakilacustomer.org,117.72
Joyce,Edwards,joyce.edwards@sakilacustomer.org,116.76
Valerie,Black,valerie.black@sakilacustomer.org,116.75
Terry,Carlson,terry.carlson@sakilacustomer.org,116.74
Hilda,Hopkins,hilda.hopkins@sakilacustomer.org,116.73
Naomi,Jennings,naomi.jennings@sakilacustomer.org,116.73
Kathy,James,kathy.james@sakilacustomer.org,116.72
Gerald,Fultz,gerald.fultz@sakilacustomer.org,116.71
Cecil,Vines,cecil.vines@sakilacustomer.org,115.74
Gloria,Cook,gloria.cook@sakilacustomer.org,115.74
Erik,Guillen,erik.guillen@sakilacustomer.org,115.72
Philip,Causey,philip.causey@sakilacustomer.org,115.71
Veronica,Stone,veronica.stone@sakilacustomer.org,115.7
Dianne,Shelton,dianne.shelton@sakilacustomer.org,114.76
Teresa,Rogers,teresa.rogers@sakilacustomer.org,114.74
Patsy,Davidson,patsy.davidson@sakilacustomer.org,114.73
Salvador,Teel,salvador.teel@sakilacustomer.org,114.73
Florence,Woods,florence.woods@sakilacustomer.org,114.72
Craig,Morrell,craig.morrell@sakilacustomer.org,114.72
Mary,Smith,mary.smith@sakilacustomer.org,114.7
Don,Bone,don.bone@sakilacustomer.org,113.77
Christopher,Greco,christopher.greco@sakilacustomer.org,113.75
Michael,Silverman,michael.silverman@sakilacustomer.org,113.74
Nora,Herrera,nora.herrera@sakilacustomer.org,113.74
Amber,Dixon,amber.dixon@sakilacustomer.org,113.73
Dave,Gardiner,dave.gardiner@sakilacustomer.org,113.73
Jeffery,Pinson,jeffery.pinson@sakilacustomer.org,113.72
George,Linton,george.linton@sakilacustomer.org,113.71
Christy,Vargas,christy.vargas@sakilacustomer.org,113.7
Tyrone,Asher,tyrone.asher@sakilacustomer.org,112.76
Andy,Vanhorn,andy.vanhorn@sakilacustomer.org,112.76
Ashley,Richardson,ashley.richardson@sakilacustomer.org,112.75
Amy,Lopez,amy.lopez@sakilacustomer.org,112.74
Monica,Hicks,monica.hicks@sakilacustomer.org,112.73
Clyde,Tobias,clyde.tobias@sakilacustomer.org,112.72
Calvin,Martel,calvin.martel@sakilacustomer.org,111.77
Jerry,Jordon,jerry.jordon@sakilacustomer.org,111.76
Arlene,Harvey,arlene.harvey@sakilacustomer.org,111.76
Clifton,Malcolm,clifton.malcolm@sakilacustomer.org,111.74
Audrey,Ray,audrey.ray@sakilacustomer.org,111.73
Daryl,Larue,daryl.larue@sakilacustomer.org,111.73
Cindy,Fisher,cindy.fisher@sakilacustomer.org,111.73
Terrance,Roush,terrance.roush@sakilacustomer.org,111.71
Carolyn,Perez,carolyn.perez@sakilacustomer.org,111.71
Holly,Fox,holly.fox@sakilacustomer.org,111.71
Jamie,Waugh,jamie.waugh@sakilacustomer.org,110.77
Myrtle,Fleming,myrtle.fleming@sakilacustomer.org,110.76
Charlie,Bess,charlie.bess@sakilacustomer.org,110.76
Andre,Rapp,andre.rapp@sakilacustomer.org,110.74
Gina,Williamson,gina.williamson@sakilacustomer.org,110.73
Michele,Grant,michele.grant@sakilacustomer.org,110.73
Ruby,Washington,ruby.washington@sakilacustomer.org,110.72
Everett,Banda,everett.banda@sakilacustomer.org,110.72
Terrence,Gunderson,terrence.gunderson@sakilacustomer.org,110.71
Heidi,Larson,heidi.larson@sakilacustomer.org,110.68
Beatrice,Arnold,beatrice.arnold@sakilacustomer.org,109.77
Fernando,Churchill,fernando.churchill@sakilacustomer.org,109.77
Isaac,Oglesby,isaac.oglesby@sakilacustomer.org,109.76
Charlene,Alvarez,charlene.alvarez@sakilacustomer.org,109.75
Ted,Breaux,ted.breaux@sakilacustomer.org,109.73
Clifford,Bowens,clifford.bowens@sakilacustomer.org,109.73
Randy,Gaither,randy.gaither@sakilacustomer.org,109.73
Theodore,Culp,theodore.culp@sakilacustomer.org,109.72
Herman,Devore,herman.devore@sakilacustomer.org,109.72
Todd,Tan,todd.tan@sakilacustomer.org,109.72
Kyle,Spurlock,kyle.spurlock@sakilacustomer.org,109.71
Sonia,Gregory,sonia.gregory@sakilacustomer.org,108.78
Eduardo,Hiatt,eduardo.hiatt@sakilacustomer.org,108.77
Olga,Jimenez,olga.jimenez@sakilacustomer.org,108.76
Seth,Hannon,seth.hannon@sakilacustomer.org,108.76
Gabriel,Harder,gabriel.harder@sakilacustomer.org,108.75
Raymond,Mcwhorter,raymond.mcwhorter@sakilacustomer.org,108.75
Julian,Vest,julian.vest@sakilacustomer.org,108.73
Minnie,Romero,minnie.romero@sakilacustomer.org,108.72
Sally,Pierce,sally.pierce@sakilacustomer.org,108.71
Mae,Fletcher,mae.fletcher@sakilacustomer.org,107.79
Johnnie,Chisholm,johnnie.chisholm@sakilacustomer.org,107.78
Jesus,Mccartney,jesus.mccartney@sakilacustomer.org,107.77
Sandra,Martin,sandra.martin@sakilacustomer.org,107.76
Stephen,Qualls,stephen.qualls@sakilacustomer.org,107.74
Marion,Ocampo,marion.ocampo@sakilacustomer.org,107.73
Mario,Cheatham,mario.cheatham@sakilacustomer.org,107.73
Lucille,Holmes,lucille.holmes@sakilacustomer.org,107.73
Darlene,Rose,darlene.rose@sakilacustomer.org,107.71
Maxine,Silva,maxine.silva@sakilacustomer.org,107.7
Jeff,East,jeff.east@sakilacustomer.org,107.7
Lois,Butler,lois.butler@sakilacustomer.org,107.66
Dan,Paine,dan.paine@sakilacustomer.org,106.79
Marlene,Welch,marlene.welch@sakilacustomer.org,106.77
Douglas,Graf,douglas.graf@sakilacustomer.org,106.77
Gail,Knight,gail.knight@sakilacustomer.org,106.76
Claudia,Fuller,claudia.fuller@sakilacustomer.org,106.75
Dean,Sauer,dean.sauer@sakilacustomer.org,106.74
Victoria,Gibson,victoria.gibson@sakilacustomer.org,106.74
Bill,Gavin,bill.gavin@sakilacustomer.org,106.73
Erin,Dunn,erin.dunn@sakilacustomer.org,106.73
Sarah,Lewis,sarah.lewis@sakilacustomer.org,106.73
Julie,Sanchez,julie.sanchez@sakilacustomer.org,106.72
Hazel,Warren,hazel.warren@sakilacustomer.org,106.68
Sam,Mcduffie,sam.mcduffie@sakilacustomer.org,105.78
Elaine,Stevens,elaine.stevens@sakilacustomer.org,105.78
Eric,Robert,eric.robert@sakilacustomer.org,105.78
Katie,Elliott,katie.elliott@sakilacustomer.org,105.77
Shelly,Watts,shelly.watts@sakilacustomer.org,105.77
Jean,Bell,jean.bell@sakilacustomer.org,105.76
Bryan,Hardison,bryan.hardison@sakilacustomer.org,105.76
Amanda,Carter,amanda.carter@sakilacustomer.org,105.74
Earl,Shanks,earl.shanks@sakilacustomer.org,105.74
Diana,Alexander,diana.alexander@sakilacustomer.org,105.73
Marcus,Hidalgo,marcus.hidalgo@sakilacustomer.org,105.72
Cynthia,Young,cynthia.young@sakilacustomer.org,105.7
Carl,Artis,carl.artis@sakilacustomer.org,104.79
Brent,Harkins,brent.harkins@sakilacustomer.org,104.78
Violet,Rodriquez,violet.rodriquez@sakilacustomer.org,104.76
Dolores,Wagner,dolores.wagner@sakilacustomer.org,104.75
Josephine,Gomez,josephine.gomez@sakilacustomer.org,104.75
Dale,Ratcliff,dale.ratcliff@sakilacustomer.org,104.74
Brenda,Wright,brenda.wright@sakilacustomer.org,104.74
Deborah,Walker,deborah.walker@sakilacustomer.org,104.73
Jimmy,Schrader,jimmy.schrader@sakilacustomer.org,104.72
Leroy,Bustamante,leroy.bustamante@sakilacustomer.org,104.71
Peter,Menard,peter.menard@sakilacustomer.org,103.78
Tracey,Barrett,tracey.barrett@sakilacustomer.org,103.77
Ramona,Hale,ramona.hale@sakilacustomer.org,103.77
Kristin,Johnston,kristin.johnston@sakilacustomer.org,103.74
Courtney,Day,courtney.day@sakilacustomer.org,103.74
Carla,Gutierrez,carla.gutierrez@sakilacustomer.org,103.74
Sharon,Robinson,sharon.robinson@sakilacustomer.org,103.73
Manuel,Murrell,manuel.murrell@sakilacustomer.org,103.73
Misty,Lambert,misty.lambert@sakilacustomer.org,102.78
Max,Pitt,max.pitt@sakilacustomer.org,102.77
Ben,Easter,ben.easter@sakilacustomer.org,102.77
Sergio,Stanfield,sergio.stanfield@sakilacustomer.org,102.76
Lillian,Griffin,lillian.griffin@sakilacustomer.org,102.76
Yolanda,Weaver,yolanda.weaver@sakilacustomer.org,102.75
Ellen,Simpson,ellen.simpson@sakilacustomer.org,102.75
Marie,Turner,marie.turner@sakilacustomer.org,101.79
Leo,Ebert,leo.ebert@sakilacustomer.org,101.78
Robin,Hayes,robin.hayes@sakilacustomer.org,101.77
Rene,Mcalister,rene.mcalister@sakilacustomer.org,101.76
Leonard,Schofield,leonard.schofield@sakilacustomer.org,101.7
Glen,Talbert,glen.talbert@sakilacustomer.org,100.77
Sidney,Burleson,sidney.burleson@sakilacustomer.org,100.76
Brad,Mccurdy,brad.mccurdy@sakilacustomer.org,100.76
Willie,Howell,willie.howell@sakilacustomer.org,100.75
Vickie,Brewer,vickie.brewer@sakilacustomer.org,100.75
Juanita,Mason,juanita.mason@sakilacustomer.org,100.72
Ron,Deluca,ron.deluca@sakilacustomer.org,99.78
Lisa,Anderson,lisa.anderson@sakilacustomer.org,99.77
Sherri,Rhodes,sherri.rhodes@sakilacustomer.org,99.74
Evelyn,Morgan,evelyn.morgan@sakilacustomer.org,99.74
Ken,Prewitt,ken.prewitt@sakilacustomer.org,99.73
Angel,Barclay,angel.barclay@sakilacustomer.org,99.72
Tom,Milner,tom.milner@sakilacustomer.org,99.71
Bobby,Boudreau,bobby.boudreau@sakilacustomer.org,99.68
Ruth,Martinez,ruth.martinez@sakilacustomer.org,98.82
Frank,Waggoner,frank.waggoner@sakilacustomer.org,98.77
Annette,Olson,annette.olson@sakilacustomer.org,98.76
Clinton,Buford,clinton.buford@sakilacustomer.org,98.76
Gwendolyn,May,gwendolyn.may@sakilacustomer.org,98.75
Francis,Sikes,francis.sikes@sakilacustomer.org,98.75
Jeremy,Hurtado,jeremy.hurtado@sakilacustomer.org,98.75
Ross,Grey,ross.grey@sakilacustomer.org,98.74
Rose,Howard,rose.howard@sakilacustomer.org,97.8
Adam,Gooch,adam.gooch@sakilacustomer.org,97.8
Leon,Bostic,leon.bostic@sakilacustomer.org,97.79
Pedro,Chestnut,pedro.chestnut@sakilacustomer.org,97.78
Laurie,Lawrence,laurie.lawrence@sakilacustomer.org,97.78
Rodney,Moeller,rodney.moeller@sakilacustomer.org,97.78
Wallace,Slone,wallace.slone@sakilacustomer.org,97.78
Shannon,Freeman,shannon.freeman@sakilacustomer.org,97.77
Mabel,Holland,mabel.holland@sakilacustomer.org,97.75
Virgil,Wofford,virgil.wofford@sakilacustomer.org,97.75
Cassandra,Walters,cassandra.walters@sakilacustomer.org,96.79
Carlos,Coughlin,carlos.coughlin@sakilacustomer.org,96.79
Nina,Soto,nina.soto@sakilacustomer.org,96.79
Louise,Jenkins,louise.jenkins@sakilacustomer.org,96.78
Albert,Crouse,albert.crouse@sakilacustomer.org,96.78
Betty,White,betty.white@sakilacustomer.org,96.77
Vincent,Ralston,vincent.ralston@sakilacustomer.org,96.77
Edward,Baugh,edward.baugh@sakilacustomer.org,96.76
Micheal,Forman,micheal.forman@sakilacustomer.org,96.76
Velma,Lucas,velma.lucas@sakilacustomer.org,96.76
Reginald,Kinder,reginald.kinder@sakilacustomer.org,96.75
Melvin,Ellington,melvin.ellington@sakilacustomer.org,96.75
Denise,Kelly,denise.kelly@sakilacustomer.org,96.74
Dwayne,Olvera,dwayne.olvera@sakilacustomer.org,95.8
Connie,Wallace,connie.wallace@sakilacustomer.org,95.79
Willard,Lumpkin,willard.lumpkin@sakilacustomer.org,95.79
Shane,Millard,shane.millard@sakilacustomer.org,95.78
Gary,Coy,gary.coy@sakilacustomer.org,95.78
Darren,Windham,darren.windham@sakilacustomer.org,95.78
Stacy,Cunningham,stacy.cunningham@sakilacustomer.org,95.78
Ronnie,Ricketts,ronnie.ricketts@sakilacustomer.org,95.76
Beth,Franklin,beth.franklin@sakilacustomer.org,95.76
Walter,Perryman,walter.perryman@sakilacustomer.org,95.76
Esther,Crawford,esther.crawford@sakilacustomer.org,95.72
Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,94.81
Nicole,Peterson,nicole.peterson@sakilacustomer.org,94.78
Danielle,Daniels,danielle.daniels@sakilacustomer.org,94.78
Brandy,Graves,brandy.graves@sakilacustomer.org,94.77
Geraldine,Perkins,geraldine.perkins@sakilacustomer.org,94.76
Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,94.76
Suzanne,Nichols,suzanne.nichols@sakilacustomer.org,94.76
Carmen,Owens,carmen.owens@sakilacustomer.org,94.75
Kevin,Schuler,kevin.schuler@sakilacustomer.org,93.83
Edwin,Burk,edwin.burk@sakilacustomer.org,93.8
Claude,Herzog,claude.herzog@sakilacustomer.org,93.8
Francisco,Skidmore,francisco.skidmore@sakilacustomer.org,93.79
Ronald,Weiner,ronald.weiner@sakilacustomer.org,93.79
Joshua,Mark,joshua.mark@sakilacustomer.org,93.78
Dawn,Sullivan,dawn.sullivan@sakilacustomer.org,93.78
Phillip,Holm,phillip.holm@sakilacustomer.org,93.76
Tamara,Nguyen,tamara.nguyen@sakilacustomer.org,93.75
Martin,Bales,martin.bales@sakilacustomer.org,93.75
Howard,Fortner,howard.fortner@sakilacustomer.org,93.74
Nancy,Thomas,nancy.thomas@sakilacustomer.org,93.74
Frances,Parker,frances.parker@sakilacustomer.org,92.81
Joseph,Joy,joseph.joy@sakilacustomer.org,92.8
Cody,Nolen,cody.nolen@sakilacustomer.org,92.8
Bruce,Schwarz,bruce.schwarz@sakilacustomer.org,92.79
Andrea,Henderson,andrea.henderson@sakilacustomer.org,92.79
Joel,Francisco,joel.francisco@sakilacustomer.org,92.78
Chester,Benner,chester.benner@sakilacustomer.org,92.78
Renee,Lane,renee.lane@sakilacustomer.org,92.76
Elmer,Noe,elmer.noe@sakilacustomer.org,92.76
Melanie,Armstrong,melanie.armstrong@sakilacustomer.org,92.75
Carole,Barnett,carole.barnett@sakilacustomer.org,92.75
Dustin,Gillette,dustin.gillette@sakilacustomer.org,92.75
Ricardo,Meador,ricardo.meador@sakilacustomer.org,91.81
Rafael,Abney,rafael.abney@sakilacustomer.org,91.81
Wilma,Richards,wilma.richards@sakilacustomer.org,91.8
Pamela,Baker,pamela.baker@sakilacustomer.org,91.79
Travis,Estep,travis.estep@sakilacustomer.org,91.78
Vicki,Fields,vicki.fields@sakilacustomer.org,91.78
Sean,Douglass,sean.douglass@sakilacustomer.org,91.77
Matthew,Mahan,matthew.mahan@sakilacustomer.org,91.75
Ivan,Cromwell,ivan.cromwell@sakilacustomer.org,91.75
Judith,Cox,judith.cox@sakilacustomer.org,91.7
Natalie,Meyer,natalie.meyer@sakilacustomer.org,90.78
Deanna,Byrd,deanna.byrd@sakilacustomer.org,90.78
Kelly,Knott,kelly.knott@sakilacustomer.org,90.77
Emily,Diaz,emily.diaz@sakilacustomer.org,90.77
Kathleen,Adams,kathleen.adams@sakilacustomer.org,90.75
Derek,Blakely,derek.blakely@sakilacustomer.org,90.73
Hugh,Waldrop,hugh.waldrop@sakilacustomer.org,89.8
Benjamin,Varney,benjamin.varney@sakilacustomer.org,89.78
Beverly,Brooks,beverly.brooks@sakilacustomer.org,89.78
Christine,Roberts,christine.roberts@sakilacustomer.org,89.78
Andrew,Purdy,andrew.purdy@sakilacustomer.org,89.78
Jackie,Lynch,jackie.lynch@sakilacustomer.org,89.77
Lillie,Kim,lillie.kim@sakilacustomer.org,89.77
Edgar,Rhoads,edgar.rhoads@sakilacustomer.org,89.77
Judy,Gray,judy.gray@sakilacustomer.org,89.77
Bertha,Ferguson,bertha.ferguson@sakilacustomer.org,89.77
Darrell,Power,darrell.power@sakilacustomer.org,89.76
Rebecca,Scott,rebecca.scott@sakilacustomer.org,89.76
Lawrence,Lawton,lawrence.lawton@sakilacustomer.org,89.71
Stella,Moreno,stella.moreno@sakilacustomer.org,88.81
Dora,Medina,dora.medina@sakilacustomer.org,88.81
Aaron,Selby,aaron.selby@sakilacustomer.org,88.8
Anna,Hill,anna.hill@sakilacustomer.org,88.8
Mildred,Bailey,mildred.bailey@sakilacustomer.org,88.78
Glenn,Pullen,glenn.pullen@sakilacustomer.org,88.78
Georgia,Jacobs,georgia.jacobs@sakilacustomer.org,88.77
Heather,Morris,heather.morris@sakilacustomer.org,88.76
Pauline,Henry,pauline.henry@sakilacustomer.org,88.75
Theresa,Watson,theresa.watson@sakilacustomer.org,88.73
Donna,Thompson,donna.thompson@sakilacustomer.org,87.82
Tara,Ryan,tara.ryan@sakilacustomer.org,87.81
Harvey,Guajardo,harvey.guajardo@sakilacustomer.org,87.8
Richard,Mccrary,richard.mccrary@sakilacustomer.org,87.8
Kurt,Emmons,kurt.emmons@sakilacustomer.org,87.8
Derrick,Bourque,derrick.bourque@sakilacustomer.org,87.8
Maureen,Little,maureen.little@sakilacustomer.org,87.79
Loretta,Carpenter,loretta.carpenter@sakilacustomer.org,87.79
Charlotte,Hunter,charlotte.hunter@sakilacustomer.org,87.78
Jack,Foust,jack.foust@sakilacustomer.org,87.77
Freddie,Duggan,freddie.duggan@sakilacustomer.org,87.77
Raul,Fortier,raul.fortier@sakilacustomer.org,86.82
Vanessa,Sims,vanessa.sims@sakilacustomer.org,86.81
Lewis,Lyman,lewis.lyman@sakilacustomer.org,86.81
Nellie,Garrett,nellie.garrett@sakilacustomer.org,86.81
Ruben,Geary,ruben.geary@sakilacustomer.org,86.81
Kelly,Torres,kelly.torres@sakilacustomer.org,86.8
Erica,Matthews,erica.matthews@sakilacustomer.org,86.8
Agnes,Bishop,agnes.bishop@sakilacustomer.org,86.79
Peggy,Myers,peggy.myers@sakilacustomer.org,86.77
Constance,Reid,constance.reid@sakilacustomer.org,86.77
Chad,Carbone,chad.carbone@sakilacustomer.org,86.76
Allison,Stanley,allison.stanley@sakilacustomer.org,86.75
Ian,Still,ian.still@sakilacustomer.org,86.75
Lucy,Wheeler,lucy.wheeler@sakilacustomer.org,86.75
Wendy,Harrison,wendy.harrison@sakilacustomer.org,86.73
Randall,Neumann,randall.neumann@sakilacustomer.org,85.8
Alfredo,Mcadams,alfredo.mcadams@sakilacustomer.org,85.8
Willie,Markham,willie.markham@sakilacustomer.org,85.78
Jon,Wiles,jon.wiles@sakilacustomer.org,85.78
Victor,Barkley,victor.barkley@sakilacustomer.org,85.78
Jane,Bennett,jane.bennett@sakilacustomer.org,85.77
Kimberly,Lee,kimberly.lee@sakilacustomer.org,85.77
